addr	symbol	size	class	source	status	fuzzy	alternatives
0016f6f8	func_0016f6f8	120	branchy	e3	near	68.47	lift:near:44.5;ghidra:near:40.97;m2c:near:16.27
0016f770	func_0016f770	48	branchy	ghidra	exact	100.00	m2c:exact:100.0;e3:near:41.12;lift:near:23.46
0016f7b0	func_0016f7b0	28	straight	lift	near	70.57	ghidra:near:70.57;m2c:near:62.2
0016f7d0	_ZN2YS8OBJENTRY18GetCacheBuffStatusEjPKS0_	252	branchy	lift	exact	100.00	m2c:near:97.48;ghidra:near:85.25
0016f8d0	func_0016f8d0	96	branchy	lift	near	80.83	m2c:near:63.85;ghidra:near:61.61
0016f930	func_0016f930	64	loop	lift	exact	100.00	m2c:near:68.62;ghidra:near:63.41
0016f970	func_0016f970	116	loop	lift	near	93.13	ghidra:near:91.1;m2c:near:81.9
0016f9e8	func_0016f9e8	108	loop	lift	near	44.07	ghidra:near:25.59;m2c:near:20.56
0016fa58	func_0016fa58	44	straight	lift	exact	100.00	m2c:exact:100.0;ghidra:near:75.18
0016fac8	func_0016fac8	52	straight	twins	exact	100.00	ghidra:near:84.62;m2c:compile:0.0
0016fb00	func_0016fb00	48	straight	lift	exact	100.00	ghidra:near:98.33;m2c:near:71.46
0016fc10	func_0016fc10	404	loop	lift	near	34.22	ghidra:near:30.68;m2c:near:8.92
0016fda8	func_0016fda8	540	loop	lift	near	61.64	m2c:near:57.53;ghidra:near:6.31
0016ffc8	func_0016ffc8	80	branchy	lift	near	80.25	m2c:near:71.4;ghidra:near:42.2
00170018	func_00170018	204	loop	lift	near	74.76	m2c:near:61.53;ghidra:near:33.83
001700e8	func_001700e8	120	loop	lift	near	72.54	ghidra:near:50.61;m2c:near:20.87
00170188	func_00170188	180	loop	ghidra	near	20.33	m2c:near:0.0
00170240	_Z16ctarget_00170240jjjj	160	loop	lift	near	36.56	ghidra:near:24.02;m2c:near:16.73
001702e0	_Z16ctarget_001702e0jjjj	60	loop	lift	near	49.20	ghidra:near:39.87;m2c:near:23.53
00170320	_ZN2YS10CACHE_BUFF5ClearEi	136	loop	ghidra	near	38.59	m2c:near:25.97
001703a8	_Z16wtarget_001703a8jjjj	84	loop	lift	near	95.38	ghidra:near:95.38;m2c:near:90.95
00170400	_ZN2YS10CACHE_BUFF14ReadRequestSubEPKcij	276	branchy	m2c	near	78.03	lift:near:51.59;ghidra:near:31.72
00170530	func_00170530	60	straight	lift	exact	100.00	m2c:near:78.0;ghidra:near:68.27;e3:near:45.87
001705a8	func_001705a8	200	loop	lift	near	80.58	m2c:near:69.63;ghidra:near:60.94;e3:near:49.05
00170670	func_00170670	356	loop	lift	near	81.93	m2c:near:62.17;ghidra:near:40.42
001707d8	func_001707d8	172	loop	m2c	near	93.13	lift:near:87.98;ghidra:near:76.96
001708f8	_ZN2YS10CACHE_BUFF5AllocEPKci	88	branchy	lift	near	88.18	m2c:near:85.45;ghidra:near:70.0
00170a90	func_00170a90	160	loop	lift	near	35.65	m2c:near:34.6;ghidra:near:27.85
00170b30	func_00170b30	204	loop	lift	near	90.53	ghidra:near:82.82;m2c:near:53.91
00170c50	func_00170c50	124	loop	lift	near	58.65	ghidra:near:34.94;m2c:near:12.87
00170cd0	_ZN2YS10CACHE_BUFF10IsFlushingEv	72	branchy	lift	near	60.00	ghidra:near:48.89;m2c:near:38.95
00170d38	func_00170d38	116	branchy	m2c	near	96.60	ghidra:near:83.65;lift:near:74.5
00170dd0	func_00170dd0	72	loop	lift	near	96.67	ghidra:near:88.89;e3:near:41.11;m2c:near:41.11
00170e80	func_00170e80	100	loop	lift	near	79.20	ghidra:near:3.16;m2c:compile:0.0
00170ee8	func_00170ee8	76	branchy	lift	near	39.63	ghidra:near:39.63;m2c:near:39.53
00170f98	func_00170f98	148	float	lift	near	56.37	e3:near:38.11;m2c:near:36.54;ghidra:near:26.35
00171150	func_00171150	44	float	lift	exact	100.00	m2c:near:63.09;ghidra:near:51.82
00171268	func_00171268	72	float	m2c	near	69.17	lift:near:68.68;ghidra:near:61.11
001712b0	func_001712b0	72	float	lift	near	71.84	ghidra:near:68.89;m2c:near:65.83
00171348	_ZN2YS13trap_obj_hideEP8BD_VALUE	44	straight	lift	exact	100.00	m2c:near:99.09;ghidra:near:78.36;e3:near:38.59
00171378	_ZN2YS13trap_obj_showEP8BD_VALUE	44	straight	lift	exact	100.00	m2c:near:99.09;ghidra:near:78.36;e3:near:38.59
001713f0	func_001713f0	40	float	ghidra	near	73.00	lift:near:39.5;m2c:near:39.5
00171418	func_00171418	72	branchy	lift	near	97.44	m2c:near:97.44;ghidra:near:41.97
00171480	func_00171480	48	straight	lift	near	64.50	ghidra:near:32.92;m2c:near:27.07
00171518	func_00171518	76	branchy	twins	exact	100.00	lift:near:84.42;m2c:near:60.04;ghidra:near:46.47
00171640	func_00171640	80	float	lift	exact	100.00	m2c:exact:100.0;ghidra:near:34.6
00171690	func_00171690	44	float	ghidra	near	74.55	lift:near:62.09;m2c:near:62.09
00171810	_ZN2YS14trap_obj_voiceEP8BD_VALUE	52	straight	lift	exact	100.00	ghidra:near:98.46;m2c:near:98.46;e3:near:30.03
