ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035ed90	007fe070	3.0	Tz__TRTE__m_HelpMsg	_ZN2Tz4TRTE9m_HelpMsgE	Tz::TRTE::m_HelpMsg	Tz::SmHelpMsg *
0035ed94	00b5fd88	2.0	Tz__TRTE__m_FadeWait	_ZN2Tz4TRTE10m_FadeWaitE	Tz::TRTE::m_FadeWait	BOOL_1
0035ed9c	00b5fd89	3.0	Tz__TRTE__m_NewInfo	_ZN2Tz4TRTE9m_NewInfoE	Tz::TRTE::m_NewInfo	char
0035eda8	007fdfb4	8.0	Tz__HBTE__m_MenuPtr	_ZN2Tz4HBTE9m_MenuPtrE	Tz::HBTE::m_MenuPtr	Tz::Select *
0035edac	007fdfb8	5.0	Tz__HBTE__m_SelPtr	_ZN2Tz4HBTE8m_SelPtrE	Tz::HBTE::m_SelPtr	Tz::Select *
0035edb0	007fdfbc	8.0	Tz__HBTE__m_Lay	_ZN2Tz4HBTE5m_LayE	Tz::HBTE::m_Lay	Tz::Layout *
0035edb4	007fdfc0	6.0	Tz__HBTE__m_LayBg2	_ZN2Tz4HBTE8m_LayBg2E	Tz::HBTE::m_LayBg2	Tz::Layout *
0035edb8	007fdfc4	7.0	Tz__HBTE__m_LayPic	_ZN2Tz4HBTE8m_LayPicE	Tz::HBTE::m_LayPic	Tz::Layout *
0035edbc	007fdfcc	3.0	Tz__HBTE__m_New	_ZN2Tz4HBTE5m_NewE	Tz::HBTE::m_New	dk::Sprite *
0035edc0	007fdfc8	5.0	Tz__HBTE__m_HelpMsg	_ZN2Tz4HBTE9m_HelpMsgE	Tz::HBTE::m_HelpMsg	Tz::SmHelpMsg *
0035edc4	00b5f768	4.0	Tz__HBTE__m_FadeWait	_ZN2Tz4HBTE10m_FadeWaitE	Tz::HBTE::m_FadeWait	BOOL_1
0035edc5	00b5f769	3.0	Tz__HBTE__m_NewInfo	_ZN2Tz4HBTE9m_NewInfoE	Tz::HBTE::m_NewInfo	char
