ee_addr	ppc_addr	tier	mangled	demangled	c_ident	params	locals
0021efc0	005c6ac4	sim-low	pppRyjDrawDrawShipoly	pppRyjDrawDrawShipoly	pppRyjDrawDrawShipoly	pppPObject * pPobj, PRyjDrawShipoly * pParam, pppCtrlTable * pCtbl	VColor * pCol; OMD_IN Mdi; FMATRIX matLvw; pppModelSt * pMdl; OMD_H * pOmd
0021f0d8	005d75b8	sim-med	_Z14KeLnsLp_UpdateP17_KeWkLnsLp_Update	KeLnsLp_Update(_KeWkLnsLp_Update*)	KeLnsLp_Update	KeWkLnsLp_Update * _w	FMATRIX fm0; FMATRIX fm1; FVECTOR fv0; FVECTOR fv1; FVECTOR fv2; KeLnsLp * _p; float f; const Axa::FVECTOR4 & L2CVEC; Axa::FMATRIX44 & ZMAT; const Axa::FVECTOR4 & POS; FLOAT Q
0021f5d8	005d7b9c	sim-med	_Z12KeLnsLp_InitP8_KeLnsLp	KeLnsLp_Init(_KeLnsLp*)	KeLnsLp_Init	KeLnsLp * _p	
0021f908	005c8fb8	sim-low	_Z4calcP13VRyjMegaBirthP13PRyjMegaBirthP14_PARTICLE_DATAP6VColorP15_PARTICLE_COLOR	calc(VRyjMegaBirth*, PRyjMegaBirth*, _PARTICLE_DATA*, VColor*, _PARTICLE_COLOR*)	calc_5	VRyjMegaBirth * pVal, PRyjMegaBirth * pParam, PARTICLE_DATA * pPdat, VColor * pCol, PARTICLE_COLOR * pPcol	int nA; FVECTOR vecDir
0021fa10	005d8070	sim-sib-high	_Z13KeLnsClm_InitP9_KeLnsClm	KeLnsClm_Init(_KeLnsClm*)	KeLnsClm_Init	KeLnsClm * _p	
0021fa28	005d80a8	sim-rerun2-med	_Z14KeLnsArnd_DrawP17_KeWkLnsArnd_Drawi	KeLnsArnd_Draw(_KeWkLnsArnd_Draw*, int)	KeLnsArnd_Draw	KeWkLnsArnd_Draw * _w, int Flg	FMATRIX fm0; KeWkLnsShp_Draw wShp; KeLnsLp * pLp; KeLnsArnd * _p
0021fbc0	005d82e4	sim-rerun2-high	_Z14KeLnsArnd_InitP10_KeLnsArnd	KeLnsArnd_Init(_KeLnsArnd*)	KeLnsArnd_Init	KeLnsArnd * _p	
0021fbd8	005d8320	sim-rerun2-med	_Z13KeLnsCrn_DrawP16_KeWkLnsCrn_Drawi	KeLnsCrn_Draw(_KeWkLnsCrn_Draw*, int)	KeLnsCrn_Draw	KeWkLnsCrn_Draw * _w, int Flg	FMATRIX fm0; KeWkLnsShp_Draw wShp; KeLnsCrn * _p; KeLnsLp * pLp; float f
0021fe08	005d861c	sim-rerun2-sandwich	_Z15KeLnsCrn_SetShpP9_KeLnsCrnP10pppShapeSt	KeLnsCrn_SetShp(_KeLnsCrn*, pppShapeSt*)	KeLnsCrn_SetShp	KeLnsCrn * _p, pppShapeSt * pSS	
0021fe28	005d8638	sim-rerun2-med	_Z13KeLnsCrn_InitP9_KeLnsCrn	KeLnsCrn_Init(_KeLnsCrn*)	KeLnsCrn_Init	KeLnsCrn * _p	
0021fe40	005d8670	sim-rerun2-med	_Z13KeLnsFls_DrawP16_KeWkLnsFls_Drawi	KeLnsFls_Draw(_KeWkLnsFls_Draw*, int)	KeLnsFls_Draw	KeWkLnsFls_Draw * _w, int Flg	FMATRIX fm0; KeWkLnsShp_Draw wShp; KeLnsLp * pLp; KeLnsFls * _p; float f; float e
00220070	005d894c	sim-rerun2-med	_Z13KeLnsFls_InitP9_KeLnsFls	KeLnsFls_Init(_KeLnsFls*)	KeLnsFls_Init	KeLnsFls * _p	
002200c0	005cc918	sim-low	_Z4calcP18VRyjMegaBirthModelP18PRyjMegaBirthModelP14_PARTICLE_DATAP6VColorP15_PARTICLE_COLOR	calc(VRyjMegaBirthModel*, PRyjMegaBirthModel*, _PARTICLE_DATA*, VColor*, _PARTICLE_COLOR*)	calc_2	VRyjMegaBirthModel * pVal, PRyjMegaBirthModel * pParam, PARTICLE_DATA * pPdat, VColor * pCol, PARTICLE_COLOR * pPcol	int nA; int i; FVECTOR vecDir
002204c8	005d8978	sim-high	_Z4betwv	betw()	betw		
002209f0	005cee18	sim-med	_Z10init_paramP24PRyjMegaBirthModelFilterP14_PARTICLE_DATAP15_PARTICLE_COLOR	init_param(PRyjMegaBirthModelFilter*, _PARTICLE_DATA*, _PARTICLE_COLOR*)	init_param_2	PRyjMegaBirthModelFilter * pParam, PARTICLE_DATA * pPdat, PARTICLE_COLOR * pPcol	int i
00220c88	005ced60	sim-low	pppRyjMegaBirthModelDes	pppRyjMegaBirthModelDes	pppRyjMegaBirthModelDes	pppPObject * pPobj, pppCtrlTable * pCtbl	VRyjMegaBirthModel * pVal
00220da0	005d9938	sim-med	_Z14KeThBP_MkGifPkP16_KeaThBp_MkGifPk	KeThBP_MkGifPk(_KeaThBp_MkGifPk*)	KeThBP_MkGifPk	KeaThBp_MkGifPk * _a	
00221348	005da298	sim-high	_Z13KeThBP_UpdateP15_KeaThBp_Update	KeThBP_Update(_KeaThBp_Update*)	KeThBP_Update	KeaThBp_Update * _w	structure  vf; KeThBP * _p; int flg; KeThBP * pBp; KeThRP * rpTbl; KeThRP * pRP; KeThRP * pPreRP; KeThRP * pRpW; KeThTP * pTp; float step; int rootStep; int preStep; int nNewStep; int nRootStep; int i; int j; int k; int r; int a; int rn; UINT lwPstg; int lwf; int cmdSpdFix; float f; KeThBP * pBP; KeWrkThBP_Init wrk; KeListTag * it; KeListTag * it
00221e28	005da1ac	sim-med	_Z11KeThBP_InitP15_KeWrkThBP_Init	KeThBP_Init(_KeWrkThBP_Init*)	KeThBP_Init	KeWrkThBP_Init * _w	KeThBP * _p; KeData16 * pV; Axa::DMA_SET_TAG * dmatag
00221ed0	005daef8	sim-rerun2-med	_Z11KeThBP_QuitP7_KeThBP	KeThBP_Quit(_KeThBP*)	KeThBP_Quit	KeThBP * _p	KeThRP * pRp; int i; int flg
00221f98	005ced20	sim-low	pppRyjMegaBirthModelCon	pppRyjMegaBirthModelCon	pppRyjMegaBirthModelCon	pppPObject * pPobj, pppCtrlTable * pCtbl	VRyjMegaBirthModel * pVal
00221fb8	005daff8	sim-low	_Z14KeThResHd_InitP10_KeThResHdhh	KeThResHd_Init(_KeThResHd*, unsigned char, unsigned char)	KeThResHd_Init	KeThResHd * _t, UBYTE bpNum, UBYTE rpNum	KeThBP * pBP; KeThBP * pPreBP; USHORT sz; int i
00222080	005db068	sim-med	_Z12KeThCp_AddBpP7_KeThCpP10_KeThResHdPA4_fS4_	KeThCp_AddBp(_KeThCp*, _KeThResHd*, float (*) [4], float (*) [4])	KeThCp_AddBp	KeThCp * _t, KeThResHd * pResHd, FVECTOR * pRPos, FVECTOR * pVec	KeThBP * pBp; KeWrkThBP_Init aBp; int f; KeListTag * it
00222170	005db194	sim-high	_Z13KeThCp_UpdateP15_KeaThCp_Update	KeThCp_Update(_KeaThCp_Update*)	KeThCp_Update	KeaThCp_Update * _a	KeaThBp_Update wrk; KeThBP * pBP; KeThCp * _t; int cmd; KeThBP * bp
002223e0	005db744	sim-sib-med	_Z11KeThCp_InitP7_KeThCp	KeThCp_Init(_KeThCp*)	KeThCp_Init	KeThCp * _t	
002223f0	005cf8d0	sim-med	_Z4calcP24VRyjMegaBirthModelFilterP24PRyjMegaBirthModelFilterP14_PARTICLE_DATAP6VColorP15_PARTICLE_COLOR	calc(VRyjMegaBirthModelFilter*, PRyjMegaBirthModelFilter*, _PARTICLE_DATA*, VColor*, _PARTICLE_COLOR*)	calc_3	VRyjMegaBirthModelFilter * pVal, PRyjMegaBirthModelFilter * pParam, PARTICLE_DATA * pPdat, VColor * pCol, PARTICLE_COLOR * pPcol	FVECTOR vecDist; FVECTOR vecDir; FVECTOR vec; float fLen; int nA; int i; float fFarFadeStart; float fFarFadeLen; float fNearFadeStart; float fNearFadeLen; float fTh; float fAppearRadius; FMATRIX matRot
00222568	005d5dd4	sim-rerun-high	_Z9KeVu0RndIv	KeVu0RndI()	KeVu0RndI		
002225a8	005d5e18	sim-low	_Z17KeVu0ItrsBallLineP19_KeaVu0ItrsBallLine	KeVu0ItrsBallLine(_KeaVu0ItrsBallLine*)	KeVu0ItrsBallLine	KeaVu0ItrsBallLine * _a	float a; float b; float c; float d
002226b8	005d5ee4	sim-rerun-high	_Z15KeVu0CopyVecXYZPfS_	KeVu0CopyVecXYZ(float*, float*)	KeVu0CopyVecXYZ	FLOAT * d, FLOAT * s	
00222730	005d5f2c	sim-rerun-high	_Z14KeVu0SubVecXYZPfS_S_	KeVu0SubVecXYZ(float*, float*, float*)	KeVu0SubVecXYZ	FLOAT * d, FLOAT * t, FLOAT * s	
002247e8	002da1d8	sim-low	_ZN2sa7MUSICAL12setSuccessNgEv	sa::MUSICAL::setSuccessNg()	sa__MUSICAL__setSuccessNg		const int frame
00224828	002da210	sim-sandwich	_ZN2sa7MUSICAL10setSuccessEv	sa::MUSICAL::setSuccess()	sa__MUSICAL__setSuccess		const int frame
00224860	002da248	med	_ZN2sa7MUSICAL12getSuccessNgEv	sa::MUSICAL::getSuccessNg()	sa__MUSICAL__getSuccessNg		
002248c0	002da440	sim-rerun2-med	_ZN2sa7MUSICAL10clearComboEv	sa::MUSICAL::clearCombo()	sa__MUSICAL__clearCombo		
002248f8	002da258	sim-sib-high	_ZN2sa7MUSICAL8addScoreEi	sa::MUSICAL::addScore(int)	sa__MUSICAL__addScore	const int point	
00224910	002da278	med	_ZN2sa7MUSICAL8getScoreEv	sa::MUSICAL::getScore()	sa__MUSICAL__getScore		
00224920	002da26c	med	_ZN2sa7MUSICAL8setScoreEi	sa::MUSICAL::setScore(int)	sa__MUSICAL__setScore	int score	
002249b8	002da2ac	med	_ZN2sa7MUSICAL8getStageEv	sa::MUSICAL::getStage()	sa__MUSICAL__getStage		
002249f8	002da2bc	sim-med	_ZN2sa7MUSICAL6resultEv	sa::MUSICAL::result()	sa__MUSICAL__result		
00224b08	002d9f30	seed	_ZN2sa5EVENT11musical_endEP4TASK	sa::EVENT::musical_end(TASK*)	sa__EVENT__musical_end	TASK * task	void * return_addr
00224b60	002d9b78	seed	_ZN2sa5EVENT14musical_headerERNS_18BIN_MUSICAL_HEADEREP4TASK	sa::EVENT::musical_header(sa::BIN_MUSICAL_HEADER&, TASK*)	sa__EVENT__musical_header	sa::BIN_MUSICAL_HEADER & bin_musical_header, TASK * task	
00224b88	002da118	seed	_ZN2sa5EVENT14callSignalTaskEP4TASK	sa::EVENT::callSignalTask(TASK*)	sa__EVENT__callSignalTask	TASK * task	
00224bd0	002da090	seed	_ZN2sa5EVENT14musical_resultEv	sa::EVENT::musical_result()	sa__EVENT__musical_result		
00224c20	002d9c00	med	_ZN2sa5EVENT18checkMusicalMemoryEv	sa::EVENT::checkMusicalMemory()	sa__EVENT__checkMusicalMemory		
00224d48	002d9d60	med	_ZN2sa5EVENT15musical_2d_initEv	sa::EVENT::musical_2d_init()	sa__EVENT__musical_2d_init		const int stage
00224e28	002da010	seed	_ZN2sa5EVENT15musical_2d_freeEv	sa::EVENT::musical_2d_free()	sa__EVENT__musical_2d_free		
00224e90	002d9d48	seed	_ZN2sa5EVENT9isMusicalEv	sa::EVENT::isMusical()	sa__EVENT__isMusical		
00224ea0	002d9544	sim-low	_ZN2sa5EVENT21set_bin_musical_sceneERNS_17BIN_MUSICAL_SCENEEP4TASK	sa::EVENT::set_bin_musical_scene(sa::BIN_MUSICAL_SCENE&, TASK*)	sa__EVENT__set_bin_musical_scene	sa::BIN_MUSICAL_SCENE & bin_musical_scene, TASK * task	int jumpFrame
00224f08	002da478	sim-med	_ZN2sa18printTaskFinalizerEP4TASK	sa::printTaskFinalizer(TASK*)	sa__printTaskFinalizer	TASK * task	(anonymous namespace)::MUSICAL_TARGET_CONTROL * target
00224fa0	002d9680	med	_ZN2sa5EVENT22set_bin_musical_targetERNS_18BIN_MUSICAL_TARGETEP4TASK	sa::EVENT::set_bin_musical_target(sa::BIN_MUSICAL_TARGET&, TASK*)	sa__EVENT__set_bin_musical_target	sa::BIN_MUSICAL_TARGET & bin_musical_target, TASK * task	const int priority; const int rhythm; TASK * newtask; sa::MUSICAL_TARGET * musical_target; const int drawStartFrame; const int justFrame; const int endFrame; const int inputStartFrame; const int inputErrorStartFrame; (anonymous namespace)::MUSICAL_TARGET_CONTROL * target; int type
002251c8	002e55ac	seed	_ZN2sa6VIEWER13callMusicalSeEi	sa::VIEWER::callMusicalSe(int)	sa__VIEWER__callMusicalSe	const int seNum	
00225208	002e55f0	seed	_ZN2sa6VIEWER19checkMusicalhideAllEv	sa::VIEWER::checkMusicalhideAll()	sa__VIEWER__checkMusicalhideAll		
00225248	002e5584	med	_ZN2sa6VIEWER11hideAllTaskEP4TASK	sa::VIEWER::hideAllTask(TASK*)	sa__VIEWER__hideAllTask	TASK * task	
00225260	002e5638	seed	_ZN2sa6VIEWER19isMusicalInputAllOkEv	sa::VIEWER::isMusicalInputAllOk()	sa__VIEWER__isMusicalInputAllOk		
00225328	002c1b3c	sim-low	_ZN2sa5EVENT23set_bgm_volume_continueERNS_11BIN_SEQ_BGMEP4TASK	sa::EVENT::set_bgm_volume_continue(sa::BIN_SEQ_BGM&, TASK*)	sa__EVENT__set_bgm_volume_continue	sa::BIN_SEQ_BGM & bin_seq, TASK * task	int vol; void * return_addr
002253a0	002c166c	med	_ZN2sa5EVENT11set_bgm_seqERNS_11BIN_SEQ_BGMEP4TASK	sa::EVENT::set_bgm_seq(sa::BIN_SEQ_BGM&, TASK*)	sa__EVENT__set_bgm_seq	sa::BIN_SEQ_BGM & bin_seq, TASK * task	int vol; const int vol; void * return_addr; void * return_addr
00225550	002c1320	med	_ZN2sa5EVENT13initBgmMemoryEv	sa::EVENT::initBgmMemory()	sa__EVENT__initBgmMemory		ALLOCATOR * allocator; void * return_addr; void * return_addr
002255f0	002c2134	seed	_ZN2sa5EVENT13freeBgmMemoryEv	sa::EVENT::freeBgmMemory()	sa__EVENT__freeBgmMemory		
00225640	002c1194	med	_ZN2sa5EVENT16readBgmBuffAllocEPcPNS_7READ_WKENS_11EVENT_ALLOC10ALLOC_TYPEE	sa::EVENT::readBgmBuffAlloc(char*, sa::READ_WK*, sa::EVENT_ALLOC::ALLOC_TYPE)	sa__EVENT__readBgmBuffAlloc	char * name, sa::READ_WK * p, sa::EVENT_ALLOC::ALLOC_TYPE alloc_type	int buff; const int size; void * return_addr; void * return_addr; void * return_addr
002256c8	002c14b0	med	_ZN2sa5EVENT13read_bgm_dataERNS_12BIN_BGM_DATAEP4TASK	sa::EVENT::read_bgm_data(sa::BIN_BGM_DATA&, TASK*)	sa__EVENT__read_bgm_data	sa::BIN_BGM_DATA & bin_bgm_data, TASK * task	sa::READ_WK * p; char * bgmName; void * return_addr
00225738	002c1df0	med	_ZN2sa5EVENT16bgmTransCallbackEPv	sa::EVENT::bgmTransCallback(void*)	sa__EVENT__bgmTransCallback	void * arg	sa::READ_WK * p; void * return_addr
00225898	002c1f5c	med	_ZN2sa5EVENT12set_bgm_sendERNS_12BIN_SEND_BGMEP4TASK	sa::EVENT::set_bgm_send(sa::BIN_SEND_BGM&, TASK*)	sa__EVENT__set_bgm_send	sa::BIN_SEND_BGM & bin_seq, TASK * task	char * bgmName; sa::READ_WK * p; void * arg; int bank; void * return_addr
002259f0	002c9468	sim-sib-med	_ZN2sa5EVENT11waitSoundOnEv	sa::EVENT::waitSoundOn()	sa__EVENT__waitSoundOn		
00225a00	002c9478	sim-sib-med	_ZN2sa5EVENT12waitSoundOffEv	sa::EVENT::waitSoundOff()	sa__EVENT__waitSoundOff		
00225a10	002c9488	high	_ZN2sa5EVENT13waitMessageOnEv	sa::EVENT::waitMessageOn()	sa__EVENT__waitMessageOn		
00225a20	002c9498	med	_ZN2sa5EVENT14waitMessageOffEv	sa::EVENT::waitMessageOff()	sa__EVENT__waitMessageOff		
00225a30	002c94a8	seed	_ZN2sa5EVENT18isCacheBuffFlusingEv	sa::EVENT::isCacheBuffFlusing()	sa__EVENT__isCacheBuffFlusing		
00225b00	002c94e4	high	_ZN2sa5EVENT10isJumpModeEi	sa::EVENT::isJumpMode(int)	sa__EVENT__isJumpMode	int frame	
00225b50	002c9548	seed	_ZN2sa5EVENT13isMusicalJumpEi	sa::EVENT::isMusicalJump(int)	sa__EVENT__isMusicalJump	int frame	
00225b88	002c96fc	med	_ZN2sa5EVENT8checkEndEv	sa::EVENT::checkEnd()	sa__EVENT__checkEnd		int checkFrame
00225cd8	002bbfc0	seed	_ZN2sa5EVENT15event_endThreadEP4TASK	sa::EVENT::event_endThread(TASK*)	sa__EVENT__event_endThread	TASK * task	bool sleep; void * return_addr; void * return_addr
00225e28	005ea1d4	seed	_ZN2dk7kickUncEPv	dk::kickUnc(void*)	dk__kickUnc	void * addr	
00225e48	002c9dc0	seed	_ZN2sa5EVENT10isSkippingEv	sa::EVENT::isSkipping()	sa__EVENT__isSkipping		
00225e70	002bee8c	seed	_ZN2sa11EVENT_ALLOC4initEPvi	sa::EVENT_ALLOC::init(void*, int)	sa__EVENT_ALLOC__init	void * top_adr, int size	
00226090	002d58b0	high	_ZN2sa5EVENT9read_ctrlEv	sa::EVENT::read_ctrl()	sa__EVENT__read_ctrl		short * ptr; const int cnt; sa::EVENT_ALLOC::ALLOC_TYPE alloc_type; int i; sa::BIN_READ_CTRL_MOTION_TBL * tbl; sa::BIN_READ_CTRL_AUDIO_TBL * tbl; sa::BIN_READ_CTRL_CHARA_TBL * tbl; sa::BIN_READ_CTRL_EFFECT_TBL * tbl; sa::BIN_READ_CTRL_LAYOUT_TBL * tbl
00226268	002d54f8	high	_ZN2sa5EVENT15readNextMapFileEv	sa::EVENT::readNextMapFile()	sa__EVENT__readNextMapFile		AREA area; int freeSize; char[40] name; const int size; const int msgsize
00226478	002bc8c8	high	_ZN2sa5EVENT8fixAllocEv	sa::EVENT::fixAlloc()	sa__EVENT__fixAlloc		ALLOCATOR * allocator; void * buff; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr
002267a0	002bc3d8	high	_ZN2sa5EVENT7fixFreeEv	sa::EVENT::fixFree()	sa__EVENT__fixFree		
00226ac0	002bdc78	med	_ZN2sa5EVENT9event_runEPcPN2kn7FMatrixEPN2YS3OBJEPN3ryj3PAXEPFviEii	sa::EVENT::event_run(char*, kn::FMatrix*, YS::OBJ*, ryj::PAX*, void (*)(int), int, int)	sa__EVENT__event_run	char * event_bainary_buffer, kn::FMatrix * matrix, YS::OBJ * collisionTarget, ryj::PAX * pax, TAG_CALLBACK tagcallback, const int seqNum, const int round	void * return_addr
00226bd0	002bbd78	med	_ZN2sa5EVENT13event_end_subEP4TASK	sa::EVENT::event_end_sub(TASK*)	sa__EVENT__event_end_sub	TASK * task	void * return_addr; void * return_addr
00226da8	002bbf8c	seed	_ZN2sa5EVENT9padEnableEv	sa::EVENT::padEnable()	sa__EVENT__padEnable		
00226ed0	002b9c80	seed	_ZN2sa5EVENT12readWaitInitEv	sa::EVENT::readWaitInit()	sa__EVENT__readWaitInit		
00226f78	002b9c98	sim-rerun-med	_ZN2sa5EVENT11setJumpModeEi	sa::EVENT::setJumpMode(int)	sa__EVENT__setJumpMode	int jumpFrame	
00226fc8	002bd2d8	med	_ZN2sa5EVENT4InitEv	sa::EVENT::Init()	sa__EVENT__Init		
00227120	002be3cc	med	_ZN2sa5EVENT14getProjectNameEv	sa::EVENT::getProjectName()	sa__EVENT__getProjectName		
00227200	002bda10	sim-rerun-med	_ZN2sa5EVENT10event_initEi	sa::EVENT::event_init(int)	sa__EVENT__event_init	int startTime	
002272b8	002bae00	med	_ZN2sa5EVENT10event_ctrlEP4TASK	sa::EVENT::event_ctrl(TASK*)	sa__EVENT__event_ctrl	TASK * task	int i; u_short my_size; char * adr; int id
00227818	002ba07c	seed	_ZN2sa5EVENT17readBuffAllocInitEPcPNS_7READ_WKE	sa::EVENT::readBuffAllocInit(char*, sa::READ_WK*)	sa__EVENT__readBuffAllocInit	char * name, sa::READ_WK * p	size_t size; void * return_addr
00227870	002ba2fc	seed	_ZN2sa5EVENT13readBuffAllocEPcPNS_7READ_WKENS_11EVENT_ALLOC10ALLOC_TYPEE	sa::EVENT::readBuffAlloc(char*, sa::READ_WK*, sa::EVENT_ALLOC::ALLOC_TYPE)	sa__EVENT__readBuffAlloc	char * name, sa::READ_WK * p, sa::EVENT_ALLOC::ALLOC_TYPE alloc_type	const int size; int buff; void * return_addr
00227a08	002ba6f4	sim-med	_ZN2sa5EVENT17setDeleteMarkTaskEP4TASK	sa::EVENT::setDeleteMarkTask(TASK*)	sa__EVENT__setDeleteMarkTask	TASK * task	sa::READ_WK * p
00227a28	002ba75c	sim-sib-med	_ZN2sa5EVENT11get_read_wkEiNS_9READ_TYPEE	sa::EVENT::get_read_wk(int, sa::READ_TYPE)	sa__EVENT__get_read_wk_3	int put_id, sa::READ_TYPE type	int i; void * return_addr
00227a60	002ba8e4	sim-sib-med	_ZN2sa5EVENT11get_read_wkEPcNS_9READ_TYPEE	sa::EVENT::get_read_wk(char*, sa::READ_TYPE)	sa__EVENT__get_read_wk	char * name, sa::READ_TYPE type	int i; void * return_addr
00227b00	002babd8	sim-rerun2-med	_ZN2sa5EVENT11get_read_wkEPcNS_9READ_TYPEES1_	sa::EVENT::get_read_wk(char*, sa::READ_TYPE, char*)	sa__EVENT__get_read_wk_2	char * skeltonName, sa::READ_TYPE type, char * name	int i; void * return_addr
00227c78	002b9c48	seed	_ZN2sa5EVENT9get_floatEPv	sa::EVENT::get_float(void*)	sa__EVENT__get_float	void * adr	float wk
00227ca8	002b9c68	seed	_ZN2sa5EVENT7get_intEPv	sa::EVENT::get_int(void*)	sa__EVENT__get_int	void * adr	int wk
00227d10	002be3d8	seed	_ZN2sa5EVENT14entry_work_getEi	sa::EVENT::entry_work_get(int)	sa__EVENT__entry_work_get	int put_id	void * return_addr; int i
00227e30	002bb804	med	_ZN2sa5EVENT10event_fileEP4TASK	sa::EVENT::event_file(TASK*)	sa__EVENT__event_file	TASK * task	int i; int cnt; char * adr; u_short my_size; int id
00228058	002bbcbc	med	_ZN2sa5EVENT10event_taskEP4TASK	sa::EVENT::event_task(TASK*)	sa__EVENT__event_task	TASK * task	
002280f8	002bc5f0	seed	_ZN2sa5EVENT18EventTaskFinalizerEP4TASK	sa::EVENT::EventTaskFinalizer(TASK*)	sa__EVENT__EventTaskFinalizer	TASK * task	
00228150	002bd060	med	_ZN2sa5EVENT17event_task_createEi	sa::EVENT::event_task_create(int)	sa__EVENT__event_task_create	int id	int priority
002282d8	002bc81c	high	_ZN2sa5EVENT16getEventPriorityEv	sa::EVENT::getEventPriority()	sa__EVENT__getEventPriority		int priority
002282f0	002bc838	high	_ZN2sa5EVENT10checkStartEiP4TASK	sa::EVENT::checkStart(int, TASK*)	sa__EVENT__checkStart	int startFrame, TASK * task	
00228378	002bada4	seed	_ZN2sa5EVENT16isSceneEventExecEv	sa::EVENT::isSceneEventExec()	sa__EVENT__isSceneEventExec		
002283b0	002bd29c	seed	_ZN2sa5EVENT4isLMEv	sa::EVENT::isLM()	sa__EVENT__isLM		
002283c8	002bd2b8	seed	_ZN2sa5EVENT4isLKEv	sa::EVENT::isLK()	sa__EVENT__isLK		
002283e0	002bc3bc	med	_ZN2sa5EVENT4isTTEv	sa::EVENT::isTT()	sa__EVENT__isTT		
002283f8	002be3a0	med	_ZN2sa5EVENT12getRestFrameEv	sa::EVENT::getRestFrame()	sa__EVENT__getRestFrame		
002284e8	002db820	high	_ZN2sa13MUSICAL_CLEAR7destroyEv	sa::MUSICAL_CLEAR::destroy()	sa__MUSICAL_CLEAR__destroy		
00228518	002db864	sim-low	_ZN2sa13MUSICAL_CLEAR10startClearEv	sa::MUSICAL_CLEAR::startClear()	sa__MUSICAL_CLEAR__startClear		sa::MUSICAL_CLEAR * clear
00228590	002db9c4	sim-low	_ZN2sa13MUSICAL_CLEAR11startFailedEv	sa::MUSICAL_CLEAR::startFailed()	sa__MUSICAL_CLEAR__startFailed		sa::MUSICAL_CLEAR * clear
00228788	002de9c0	sim-high	_ZN2sa14MUSICAL_GAUGE46createEv	sa::MUSICAL_GAUGE4::create()	sa__MUSICAL_GAUGE4__create		void * sqd; YI::IMAGE * image
00228918	002de8e8	sim-med	_ZN2sa14MUSICAL_GAUGE46updateEv	sa::MUSICAL_GAUGE4::update()	sa__MUSICAL_GAUGE4__update		
002289f0	002deb90	sim-med	_ZN2sa14MUSICAL_GAUGE44initEv	sa::MUSICAL_GAUGE4::init()	sa__MUSICAL_GAUGE4__init		sa::MUSICAL_GAUGE4 * score; void * return_addr
00228ab0	002ddec0	med	_ZN2sa14MUSICAL_GAUGE36createEv	sa::MUSICAL_GAUGE3::create()	sa__MUSICAL_GAUGE3__create		void * sqd; YI::IMAGE * image
00228bd8	002ddbb0	med	_ZN2sa14MUSICAL_GAUGE313calcCursorPosEv	sa::MUSICAL_GAUGE3::calcCursorPos()	sa__MUSICAL_GAUGE3__calcCursorPos		int score; int nowScore; kn::FVector Prev; kn::FVector Now; kn::FVector Target; int seqNum; const int effSeqNum; void * sqd; YI::IMAGE * image
00228e28	002dde70	high	_ZN2sa14MUSICAL_GAUGE36updateEv	sa::MUSICAL_GAUGE3::update()	sa__MUSICAL_GAUGE3__update		
00228e58	002de024	high	_ZN2sa14MUSICAL_GAUGE34initEv	sa::MUSICAL_GAUGE3::init()	sa__MUSICAL_GAUGE3__init		sa::MUSICAL_GAUGE3 * score; void * return_addr
00229120	002e30ac	med	_ZN2sa14MUSICAL_SCORE14initEv	sa::MUSICAL_SCORE1::init()	sa__MUSICAL_SCORE1__init		sa::MUSICAL_SCORE1 * score; void * return_addr
002291d0	002e2eb8	high	_ZN2sa14MUSICAL_SCORE16updateEv	sa::MUSICAL_SCORE1::update()	sa__MUSICAL_SCORE1__update		const int counterNG; const int table_size; void * sqd; YI::IMAGE * image; int cnt; int index; int i; int i
00229430	002e2290	high	_ZN2sa18MUSICAL_SCORE_BASE6createEi	sa::MUSICAL_SCORE_BASE::create(int)	sa__MUSICAL_SCORE_BASE__create	int drawpri	
00229448	002e222c	high	_ZN2sa18MUSICAL_SCORE_BASE10updateInitEv	sa::MUSICAL_SCORE_BASE::updateInit()	sa__MUSICAL_SCORE_BASE__updateInit		
00229498	002e21e8	high	_ZN2sa18MUSICAL_SCORE_BASE7destoryEv	sa::MUSICAL_SCORE_BASE::destory()	sa__MUSICAL_SCORE_BASE__destory		
002294c8	002e2444	med	_ZN2sa13MUSICAL_SCORE6createEiPiS1_i	sa::MUSICAL_SCORE::create(int, int*, int*, int)	sa__MUSICAL_SCORE__create	int digitNum, int * counterPtr, int * seqTable, INT inOffsetX	void * sqd; YI::IMAGE * image; const int group; const int pri; int xstart; int loop_dec; void * return_addr; void * return_addr; int i; const int ADD_XSIZE
00229678	002e2754	seed	_ZN2sa13MUSICAL_SCORE13setBaseParentEPN2dk6SpriteEi	sa::MUSICAL_SCORE::setBaseParent(dk::Sprite*, int)	sa__MUSICAL_SCORE__setBaseParent	dk::Sprite * parent, int counter	
002296f8	002e22b8	high	_ZN2sa13MUSICAL_SCORE7destroyEv	sa::MUSICAL_SCORE::destroy()	sa__MUSICAL_SCORE__destroy		
00229728	002e22fc	high	_ZN2sa13MUSICAL_SCORE6updateEv	sa::MUSICAL_SCORE::update()	sa__MUSICAL_SCORE__update		int[6] code; const int counter; int i; int i
00229840	002dce98	seed	_ZN2sa13MUSICAL_COMBO5startEi	sa::MUSICAL_COMBO::start(int)	sa__MUSICAL_COMBO__start	int type	sa::MUSICAL_COMBO * target; void * return_addr
