ee_addr	ppc_addr	tier	mangled	demangled	c_ident	params	locals
0010c940	000dd848	sim-high	_ZN2kn6Friend4jumpEfi	kn::Friend::jump(float, int)	kn__Friend__jump	float height, int motion	kn::FVector v
0010c9f8	00665c28	sim-med	_ZN2YS11TEST_ACTION9ActionHopEi	YS::TEST_ACTION::ActionHop(int)	YS__TEST_ACTION__ActionHop	int n	YS::OBJ * obj
0010cae8	000e516c	sim-low	_ZN2kn6Friend16setCommandAttackEPNS_17FriendActionParamE	kn::Friend::setCommandAttack(kn::FriendActionParam*)	kn__Friend__setCommandAttack	kn::FriendActionParam * actParam	
0010cbc8	000e51e0	med	_ZN2kn6Friend14setCommandItemEiPN2YS3OBJEi	kn::Friend::setCommandItem(int, YS::OBJ*, int)	kn__Friend__setCommandItem	int kind, YS::OBJ * target, int num	const YS::COMMAND_ELEM * elem
0010cc70	000e3464	med	_ZN2kn6Friend11getEnemyVecEv	kn::Friend::getEnemyVec()	kn__Friend__getEnemyVec		
0010cce0	000e3470	med	_ZN2kn6Friend9eachEnemyEPN2YS3OBJE	kn::Friend::eachEnemy(YS::OBJ*)	kn__Friend__eachEnemy	YS::OBJ * obj	
0010cdc4	000e34c4	sim-high	_ZN2kn6Friend20checkLostTarget_freeEv	kn::Friend::checkLostTarget_free()	kn__Friend__checkLostTarget_free		kn::FVector sub; float d; float d2
0010ce78	000e35c0	sim-med	_ZN2kn6Friend24checkLostTarget_togetherEv	kn::Friend::checkLostTarget_together()	kn__Friend__checkLostTarget_together		YS::OBJ * obj
0010cef0	000e3638	sim-high	_ZN2kn6Friend20checkLostTarget_nearEv	kn::Friend::checkLostTarget_near()	kn__Friend__checkLostTarget_near		kn::FVector sub; float d; float d2
0010d038	000e37fc	sim-high	_ZN2kn6Friend19checkLostTarget_farEv	kn::Friend::checkLostTarget_far()	kn__Friend__checkLostTarget_far		kn::FVector sub; float d; float d2
0010d2b8	000e3bc4	med	_ZN2kn6Friend16searchEnemy_freeEPN2YS6TARGETES3_	kn::Friend::searchEnemy_free(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_free	YS::TARGET * old, YS::TARGET * target	const YS::COLLISION_ELEM * elem; YS::COLLISION clsn; float distance; YS::TARGET tmp; kn::FVector pos; YS::OBJ * obj; kn::FVector sub; float d
0010d468	000e4028	med	_ZN2kn6Friend20searchEnemy_togetherEPN2YS6TARGETES3_	kn::Friend::searchEnemy_together(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_together	YS::TARGET * old, YS::TARGET * target	YS::TARGET tmp; kn::FVector pos
0010d524	000e4184	sim-high	_ZN2kn6Friend16searchEnemy_nearEPN2YS6TARGETES3_	kn::Friend::searchEnemy_near(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_near	YS::TARGET * old, YS::TARGET * target	const YS::COLLISION_ELEM * elem; YS::COLLISION clsn; float stay_d; float distance; YS::TARGET tmp; YS::OBJ * obj; kn::FVector sub; float d; kn::FVector sub_from_player; float player_d
0010d638	000e43d0	sim-high	_ZN2kn6Friend15searchEnemy_farEPN2YS6TARGETES3_	kn::Friend::searchEnemy_far(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_far	YS::TARGET * old, YS::TARGET * target	const YS::COLLISION_ELEM * elem; YS::COLLISION clsn; float distance; float max_d; YS::TARGET tmp; YS::OBJ * obj; kn::FVector sub; float d; kn::FVector sub_from_player; float player_d
0010d8f8	000e4620	sim-sib-med	_ZN2kn6Friend19searchEnemy_supportEPN2YS6TARGETES3_	kn::Friend::searchEnemy_support(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_support	YS::TARGET * old, YS::TARGET * target	
0010d900	000e4624	med	_ZN2kn6Friend18searchEnemy_lockonEPN2YS6TARGETES3_	kn::Friend::searchEnemy_lockon(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_lockon	YS::TARGET * old, YS::TARGET * target	
0010d918	000e4644	med	_ZN2kn6Friend26searchEnemy_playerAttackerEPN2YS6TARGETES3_	kn::Friend::searchEnemy_playerAttacker(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_playerAttacker	YS::TARGET * old, YS::TARGET * target	int i; const YS::COLLISION_ELEM * elem; YS::COLLISION clsn; YS::TARGET tmp
0010da40	000e3e10	med	_ZN2kn6Friend24searchEnemy_playerTargetEPN2YS6TARGETES3_	kn::Friend::searchEnemy_playerTarget(YS::TARGET*, YS::TARGET*)	kn__Friend__searchEnemy_playerTarget	YS::TARGET * old, YS::TARGET * target	float distance; const YS::COLLISION_ELEM * elem; YS::COLLISION clsn; YS::TARGET tmp; kn::FVector sub; float d
