ee_addr	ppc_addr	size	class	cov_fuzzy	status	fuzzy	err	notes	constraints
001aaa08	0042ebb4	460	branchy	54.76	near	23.64		positional:_sprintf->002fee78;dropped:ErrorPrintfx4;dropped:ErrorRaisex4;arity-pad:func_001491d8;arity-pad:func_00168b38;gvote:Lang->0033caf4;gvote:Sequence->01c6cec0;globals:12ppc/9ps2;gdims:filename;gdims:__LNst__ZN2YS8FONTINFOE_0;gdims:Font;gdims:__LNst__ZN2YS4FONT11InitTextureEv_1;unmapped-global:__LNst__ZN2YS4FONT11InitTextureEv_1;gdims:__LNst__ZNK2YS4FONT8get_tex0Ei_3;unmapped-global:__LNst__ZNK2YS4FONT8get_tex0Ei_3;unmapped-global:LS_54_LV_5	
001aabd8	0042dd3c	332	straight	99.94	compile	0.0	001aabd8.cpp:261: parse error	stack-locals:1;positional:_sprintf->002fee78;unmapped-call:LoadImage;unmapped-call:_ImageEntry;unmapped-call:putEntryTex;dropped:ErrorRaisex5;dropped:ErrorPrintfx5;dropped:putEntryTexx10;dropped:_ImageEntryx7;dropped:LoadImagex10;arity-pad:func_00168b38;arity-pad:func_0013a6b8;gvote:Lang->0033caf4;globals:13ppc/2ps2;gdims:filename;unmapped-global:first;gdims:__LNst__ZN2YS9FONTIMAGEE_0;unmapped-global:__LNst__ZN2YS9FONTIMAGEE_0;unmapped-global:m_pInstance;gdims:s_pFirst;unmapped-global:s_pFirst;unmapped-global:g_isFontUpCon;gdims:s_pSecond;unmapped-global:s_pSecond;unmapped-global:s_pIcon;gdims:__LNst__ZN2YS4FONT11InitTextureEv_0;unmapped-global:__LNst__ZN2YS4FONT11InitTextureEv_0;gdims:__LNst__ZNK2YS4FONT8get_tex0Ei_3;unmapped-global:__LNst__ZNK2YS4FONT8get_tex0Ei_3;gdims:LS_38_LV_3;unmapped-global:LS_38_LV_3;gdims:__LNst__ZN2YS4FONT11InitTextureEv_1;unmapped-global:__LNst__ZN2YS4FONT11InitTextureEv_1	
001aaf98	0042dce4	76	branchy	68.75	near	62.27			
001abbf0	004bbe68	268	branchy	60.96	near	0.0		this-pad:func_00239bf8;this-pad:func_00239d10;this-pad:func_001ac728	
001abdf0	004bbff4	88	branchy	75.17	near	0.0		this-pad:func_00239bf8	
001abe80	004bc074	128	branchy	78.43	near	27.47		this-pad:func_001ac728;this-pad:func_001abbf0	
001abf38	004bc13c	160	branchy	71.44	near	0.43		arity-pad:func_0023acd8;arity-pad:func_0023ade0	YS::TURNPAGE|Sequence|4|20|18
001ac078	006ccaa0	88	branchy	96.27	near	53.27		this-pad:func_00239bf8	
001ac5b8	004bc3b4	116	loop	72.68	near	0.0		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;gvote:WindowList->01c6ced0;globals:4ppc/2ps2;gdims:_ZZN2YS5SLISTINS_6WINDOWELi0EE6unlinkEPS1_Es_0;unmapped-global:_ZZN2YS5SLISTINS_6WINDOWELi0EE6unlinkEPS1_Es_0;gdims:_ZZN2YS5SLISTINS_6WINDOWELi0EE6unlinkEPS1_Es_2;unmapped-global:_ZZN2YS5SLISTINS_6WINDOWELi0EE6unlinkEPS1_Es_2	
001aca98	004bccc8	296	loop	94.59	near	60.38		simmap:GetSequence->001ab810;simmap:GetSequence->001ab810;simmap:GetSequence->001ab810;simmap:GetSequence->001ab810;simmap:GetSequence->001ab810;positional:__ZN2YI8SEQUENCEC2Ev->002395b8;positional:set_window->001abd90;this-pad:func_001ac378;arity-pad:func_00239700;this-pad:func_0015b4f8;this-pad:func_00239bf8;this-pad:func_001abd90;gdims:BaseTable;fix-gtype:D_00350a38->YS_anon_str_window_cpp_64	YS::WINDOW|MessageDraw|c|38|30;YS::WINDOW|MessageDraw|c|38|30
001acbc0	004bceec	436	switch	76.50	compile	0.0	001acbc0.cpp:547: `PHASE_CLOSE'	this-pad:func_00239d10;this-pad:func_00239bf8;this-pad:func_001abe80;this-pad:func_001ac728;this-pad:func_001aa558;this-pad:func_001abdf0;globals:1ppc/2ps2;gdims:BaseTable;fix-gtype:D_0036d780->YS_anon_str_window_cpp_64	
001acdc0	004bca60	376	loop	93.35	near	59.68		this-pad:func_00236788;this-pad:func_0023bc58;arity-pad:func_0023acd8;arity-pad:func_0023ade0;this-pad:func_001a9ae8;this-pad:func_00239bf8;globals:1ppc/0ps2;gdims:LS_58_align_table;unmapped-global:LS_58_align_table;fix-arity:func_001a9ae8;static-unmapped	YS::WINDOW|MessageDraw|c|40|38
001acf38	004bd17c	120	branchy	77.67	near	71.93		arity-pad:func_001acdc0	
001acfb0	004bd254	112	branchy	62.96	near	52.11		this-pad:func_00239bf8;gdims:BaseTable;fix-gtype:D_00350a38->YS_anon_str_window_cpp_64	
001ad020	004bd2dc	120	straight	83.00	near	42.02		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_00239bf8;globals:3ppc/0ps2;gdims:__LNst__ZN2YS11WINDOW_BASE10draw_animeEiii_0;unmapped-global:__LNst__ZN2YS11WINDOW_BASE10draw_animeEiii_0;gdims:__LNst__ZN2YS5ARROW3setEiii_3;unmapped-global:__LNst__ZN2YS5ARROW3setEiii_3;gdims:LS_137_LV_4;unmapped-global:LS_137_LV_4	YS::WINDOW|MessageDraw|c|20|18
001ad098	004bd3e8	92	float	80.00	near	73.91		this-pad:func_001ac970;globals:1ppc/2ps2	
001ad430	004bd570	120	straight	86.59	near	60.5		this-pad:func_001ac970;this-pad:func_00239bf8;this-pad:func_001923c8	YS::WINDOW|MessageDraw|c|18|c
001ad638	004bdb58	252	loop	79.12	near	37.61		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_00239870;this-pad:func_001ac5b8;gvote:IsSystemTutorialWindowOpen->00350a56;globals:8ppc/4ps2;unmapped-global:0x74f4d8;gdims:__LNst__ZN2YS22WINDOW_SYSTEM_TUTORIALD1Ev_0;unmapped-global:__LNst__ZN2YS22WINDOW_SYSTEM_TUTORIALD1Ev_0;gdims:__LNst__ZN2YS5ARROW3setEiii_3;unmapped-global:__LNst__ZN2YS5ARROW3setEiii_3;gdims:LS_171_LV_10;unmapped-global:LS_171_LV_10;static-unmapped	
001ad738	006cc49c	252	loop	79.12	near	0.0		this-pad:func_00239870;arity-pad:func_001ac5b8;globals:2ppc/4ps2	
001ad838	006ccf28	256	loop	89.06	near	29.48		this-pad:func_00239870;arity-pad:func_001ac5b8;globals:3ppc/4ps2	
001ada38	004936fc	324	switch	77.69	near	3.98		positional:max_drive->001adbc0;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;dropped:_printfx6;this-pad:func_001adbc0;arity-pad:func_001a1a50;arity-pad:func_001a1910;gvote:SaveRam->0032bb30;gvote:Flag->0034f240;globals:9ppc/5ps2;gdims:__LNst__ZN2YS5RECOV4ExecEi_1;gdims:__LNst__ZN2YS5RECOV4ExecEi_2;gdims:__LNst__ZN2YS5RECOV4ExecEi_3;gdims:__LNst__ZN2YS5RECOV4ExecEi_4;unmapped-global:__LNst__ZN2YS5RECOV4ExecEi_4;gdims:__LNst__ZN2YS5RECOV4ExecEi_5;unmapped-global:__LNst__ZN2YS5RECOV4ExecEi_5;gdims:__LNst__ZN2YS5RECOV4ExecEi_7;unmapped-global:__LNst__ZN2YS5RECOV4ExecEi_7;unmapped-global:LS_35_LV_1	
001adf00	0049750c	268	loop	62.65	compile	0.0	001adf00.cpp:111: `	positional:isShowVersion->001ae460;positional:ErrorPrintf->002f79c8;positional:ErrorRaise->002f7be8;globals:5ppc/2ps2;gdims:__LNst__ZN2YS8SELECTOR3GetEi_1;unmapped-global:__LNst__ZN2YS8SELECTOR3GetEi_1;gdims:__LNst__ZN2YS8SELECTOR3GetEi_3;unmapped-global:__LNst__ZN2YS8SELECTOR3GetEi_3;unmapped-global:LS_18_LV_2	
001ae010	0049b468	140	loop	90.40	near	20.15		dropped:ErrorPrintfx3;dropped:ErrorRaisex3;globals:8ppc/1ps2;unmapped-global:Reserve;gdims:_ZZN2YS5SLISTINS_7RESERVEELi0EE6unlinkEPS1_Es_0;unmapped-global:_ZZN2YS5SLISTINS_7RESERVEELi0EE6unlinkEPS1_Es_0;gdims:_ZZN2YS5SLISTINS_7RESERVEELi0EE6unlinkEPS1_Es_2;unmapped-global:_ZZN2YS5SLISTINS_7RESERVEELi0EE6unlinkEPS1_Es_2;gdims:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_0;unmapped-global:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_0;gdims:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_2;unmapped-global:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_2;unmapped-global:LV_1;gdims:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_3;unmapped-global:_ZZN2YS11CLASS_BLOCKINS_7RESERVEELi4EE4freeEPS1_Es_3;static-unmapped	
001aedf8	00432b4c	424	branchy	76.68	near	50.86		positional:IsMickey->001bb9f0;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_001aefa0;this-pad:func_001c8d80;arity-pad:func_001af0c0;this-pad:func_00196bf0;this-pad:func_00196e98;this-pad:func_00196f00;gvote:GameOver->00350df0;gvote:Flag->0034f240;globals:9ppc/5ps2;gdims:camera;unmapped-global:0x7996e0;gdims:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_1;unmapped-global:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_1;gdims:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;unmapped-global:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;unmapped-global:LS_55_LV_3;static-unmapped	YS::GAMEOVER|IsMickey|c|c|14;YS::GAMEOVER|SelectorMickeyArgs|14|1c|30;YS::GAMEOVER|SelectorMickeyArgs|14|28|20;YS::GAMEOVER|SelectorMickeyArgs|14|2c|24;YS::GAMEOVER|SelectorGameOverArgs|30|30|28;YS::GAMEOVER|SelectorGameOverArgs|30|40|3c;YS::GAMEOVER|SelectorGameOverArgs|30|44|40;YS::GAMEOVER|SelectorGameOverArgs|30|48|44;YS::GAMEOVER|SelectorGameOverArgs|30|3c|30
001aefa0	004329f0	284	float	65.70	near	48.82		this-pad:func_0019ba60;this-pad:func_0017e280;gvote:System->00352130;gvote:SaveRam->0032bb30;gvote:Random->003638d0	YS::GAMEOVER|SelectorGameOverArgs|30|30|18
001af0c0	00432900	208	branchy	91.51	near	86.27		this-pad:func_0017a538;this-pad:func_0016a020;gvote:Player->0034e948;drop:YS::GAMEOVER.Phase@0x8	YS::GAMEOVER|MotionData|4|4|0;YS::GAMEOVER|SelectorMickeyArgs|14|14|10;YS::GAMEOVER|SelectorGameOverArgs|30|34|30;YS::GAMEOVER|Task|4c|4c|48;YS::GAMEOVER|SelectorGameOverArgs|30|30|2c
001af420	00433168	536	float	75.02	near	45.34		positional:StatusPrintf->001c8948;positional:ErrorPrintf->001af8d8;positional:ErrorRaise->001af778;this-pad:func_001852b8;this-pad:func_001c8db8;this-pad:func_001c8d80;arity-pad:func_001af7c0;gvote:Player->0034e948;gvote:CampMenu->00351ec0;globals:7ppc/4ps2;gdims:__LNst__ZN2YS8GAMEOVER10set_motionEv_0;unmapped-global:__LNst__ZN2YS8GAMEOVER10set_motionEv_0;gdims:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;unmapped-global:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;gdims:LS_70_LV_7;unmapped-global:LS_70_LV_7;fix-arity:func_00170518;static-unmapped	YS::GAMEOVER|IsMickey|c|c|8;YS::GAMEOVER|IsMickey|c|c|8;YS::GAMEOVER|MotionData|4|4|0;YS::GAMEOVER|IsMickey|c|c|8
001af7c0	00432eb4	276	branchy	49.80	near	40.57		positional:_sprintf->002fee78;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_00168b38;this-pad:func_001491d8;globals:3ppc/1ps2;gdims:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;unmapped-global:__LNst__ZN2YS8GAMEOVERC1EPNS_3OBJEi_3;unmapped-global:LS_68_LV_6	YS::GAMEOVER|SelectorGameOverArgs|30|30|20;YS::GAMEOVER|MotionData|4|4|0;YS::GAMEOVER|Phase|8|8|4;YS::GAMEOVER|SelectorGameOverArgs|30|30|20
001af938	00433078	172	float	93.95	near	51.23		positional:get_rot->0016afe0;arity-pad:func_0016c028;arity-pad:func_0016afe0;arity-pad:func_001c7fb8;arity-pad:func_001880b0;gvote:Player->0034e948;gvote:Flag->0034f240;globals:2ppc/3ps2;fix-arg:func_001c7fb8:3;variant:no_thispad	
001afc00	004b9c78	460	loop	86.16	compile	0.0	001afc00.cpp:284: cannot	stack-locals:1;synth-fields:3;positional:_sprintf->002fee78;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_0016e920;arity-pad:func_00102448;gvote:Current->0032bae0;gvote:CurrentTask->00350df8;globals:11ppc/8ps2;gdims:filename;gdims:__LNst__ZN2YS5VOICE11ReadEntryIdEjPv_1;gdims:PartName;gdims:__LNst__ZN2YS5VOICE11ReadEntryIdEjPv_2;gdims:__LNst__ZN2YS5VOICE11ReadEntryIdEjPv_0;unmapped-global:__LNst__ZN2YS5VOICE11ReadEntryIdEjPv_0;gdims:__LNst__ZN2YS5VOICE12ReadCallbackEPvjS1__3;unmapped-global:__LNst__ZN2YS5VOICE12ReadCallbackEPvjS1__3;gdims:LS_59_LV_4;unmapped-global:LS_59_LV_4;fix-arity:func_0016e920;fix-assign-cast;fix-arity:func_0016e920;fix-arity:func_0016e920	
001afee8	004ba238	168	branchy	98.57	near	98.57			
001aff90	004ba5a4	80	loop	88.00	compile	0.0	001aff90.cpp:66: redefinition	unmapped-call:get_num;dropped:get_numx1;dropped:_printfx4;globals:5ppc/1ps2;gdims:__LNst__ZN2YS5VOICE12ReadCallbackEPvjS1__3;unmapped-global:__LNst__ZN2YS5VOICE12ReadCallbackEPvjS1__3;gdims:__LNst__ZN2YS5VOICE8GetTableEii_1;unmapped-global:__LNst__ZN2YS5VOICE8GetTableEii_1;gdims:__LNst__ZN2YS5VOICE8GetTableEii_2;unmapped-global:__LNst__ZN2YS5VOICE8GetTableEii_2;gdims:__LNst__ZN2YS5VOICE8GetTableEii_3;unmapped-global:__LNst__ZN2YS5VOICE8GetTableEii_3;fix-hdmember:YS_VOICE_TABLE.Part;fix-hdmember:YS_VOICE_TABLE.Id;fix-hdmember:YS_VOICE_TABLE.Priority	
001b0210	004b9a14	60	branchy	99.20	near	99.8			YS::VOICE|Num|10|18|10;YS::VOICE|Obj|18|20|18;YS::VOICE|Obj|18|20|18
001b0250	004b9a48	208	branchy	95.17	near	22.64		this-pad:func_0019ba60;this-pad:func_0016c028;fix-assign-cast;fix-assign-cast	
001b0448	00444f10	80	branchy	97.00	near	55.55		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_0016bc20;globals:3ppc/0ps2;gdims:__LNst__ZN2YS6LOOKAT8set_boneEPNS_3OBJE_1;unmapped-global:__LNst__ZN2YS6LOOKAT8set_boneEPNS_3OBJE_1;gdims:__LNst__ZN2YS6LOOKAT8set_boneEPNS_3OBJE_3;unmapped-global:__LNst__ZN2YS6LOOKAT8set_boneEPNS_3OBJE_3;gdims:LS_41_LV_4;unmapped-global:LS_41_LV_4	
001b0498	00444fec	64	branchy	96.25	near	67.44			
001b0580	00445040	380	float	44.18	compile	0.0	001b0580.cpp:2568: no match for	synth-fields:2;positional:operator_->002fd188;globals:2ppc/7ps2	
001b0728	004451f8	108	float	55.07	near	55.82		positional:operator_->001ad990;this-pad:func_0013fd10;globals:0ppc/1ps2	
001b0798	00445290	192	float	67.31	near	78.0		stack-locals:1;positional:operator_->001ad990;arity-pad:func_0016bc20;arity-pad:func_0016af58;arity-pad:func_0013fd10;globals:0ppc/1ps2;fix-arg:func_0013fd10:1;variant:no_thispad	YS::LOOKAT|DiffRot|50|50|20;YS::LOOKAT|Dir|40|40|10;YS::LOOKAT|Dir|40|48|18;YS::LOOKAT|DiffRot|50|50|20
001b0858	00445390	108	float	74.78	near	80.58		positional:operator_->001b08e8;positional:normalize->001ad990;this-pad:func_001ad990;this-pad:func_0013fd10;globals:0ppc/1ps2	YS::LOOKAT|Pos|20|20|18;YS::LOOKAT|Pos|20|20|18
001b1360	00445d28	108	loop	76.27	near	50.89			
001b14d8	0043e788	132	loop	97.82	near	34.23		dropped:ErrorPrintfx2;dropped:ErrorRaisex2;gvote:LightList->01d44100;gvote:IsHideBG->00350e8c;globals:10ppc/6ps2;gdims:__LNst__ZN2YS5LIGHT4InitEv_1;unmapped-global:__LNst__ZN2YS5LIGHT4InitEv_1;gdims:__LNst__ZN2YS5LIGHT4InitEv_3;unmapped-global:__LNst__ZN2YS5LIGHT4InitEv_3;gdims:LS_69_LV_6;unmapped-global:LS_69_LV_6;gdims:__LNst__ZN2YS5LIGHT4InitEv_4;unmapped-global:__LNst__ZN2YS5LIGHT4InitEv_4	
001b1560	0043e2c8	904	float	0.00	near	11.62		positional:exec->001b1b58;positional:destroy->0015ca40;positional:setCalcFog->001b1ab8;this-pad:func_001b1b58;arity-pad:func_0015ca40;gvote:LightList->01d44100;gvote:IsHideBG->00350e8c;globals:3ppc/9ps2	
