ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
00144be0	304	float	near	lift	99.79	0008840c	_ZNK2dk6Aabbox19generateDrawVertex8EPN2kn7FVectorE	dk::Aabbox::generateDrawVertex8(kn::FVector*) const		med
00178758	304	float	near	lift	85.13	0047c788	_ZN2YS6PLAYER13_OVR_pre_execEv	YS::PLAYER::_OVR_pre_exec()		high
0017c160	304	float	near	m2c	87.80	004cfa60	_ZN2YS11ACTION_IDLE7controlEPNS_3OBJE	YS::ACTION_IDLE::control(YS::OBJ*)		sim-high
00187520	304	branchy	near	lift	75.13	00413924	_ZN2YS6BTLOBJ11_OVR_add_hpEiib	YS::BTLOBJ::_OVR_add_hp(int, int, bool)		high
001bed48	304	loop	near	lift	83.09	0042b6b0	_ZN2YS13FIELD_COMMAND13make_shortcutEv	YS::FIELD_COMMAND::make_shortcut()		sim-high
001bee78	304	loop	near	e3	98.07	0042b810	_ZN2YS13FIELD_COMMAND13make_changeinEv	YS::FIELD_COMMAND::make_changein()		med
001c2d88	304	loop	near	lift	88.14	00481dd0	_ZNK2YS11PLAYERPARAM5applyEv	YS::PLAYERPARAM::apply() const		sim-high
001e6ed8	304	float	near	lift	42.30	002af69c	_Z16pppSetPartMatrixPA4_fS0_PfS1_	pppSetPartMatrix(float (*) [4], float (*) [4], float*, float*)		med
0022d880	304	loop	near	lift	96.58	002cb930	_ZN2sa5EVENT15set_bin_seq_mesERNS_11BIN_SEQ_MESEP4TASK	sa::EVENT::set_bin_seq_mes(sa::BIN_SEQ_MES&, TASK*)		med
00231390	304	float	near	lift	87.40	002c3fb0	_ZN2sa5EVENT20calcValue_objDefaultERNS_18BIN_CAMERA_DATA_WKERNS_23OBJ_DEFAULT_CAMERA_DATAEf	sa::EVENT::calcValue_objDefault(sa::BIN_CAMERA_DATA_WK&, sa::OBJ_DEFAULT_CAMERA_DATA&, float)		sim-med
0024f070	304	branchy	near	ghidra	64.20	003cf7c0	_ZN2Tz4TTMY13CreateHelpWinEi	Tz::TTMY::CreateHelpWin(int)		med
002a4470	304	branchy	near	ghidra	80.80	0035fb00	_ZN2Tz10JmTreasure12CreateCursorEv	Tz::JmTreasure::CreateCursor()		med
00137fb8	300	loop	near	lift	96.48	000808a0	_ZN2dk13TREASURE_INFO4initEv	dk::TREASURE_INFO::init()		sim-low
001558b8	300	float	near	lift	84.71	000a286c	_ZN2dk12GAUGE_PLAYER12createCircleEii	dk::GAUGE_PLAYER::createCircle(int, int)		med
0018e7c0	300	branchy	near	lift	96.97	00408a84	_ZN2YS11ATTACK_WORK7reflectEPS0_	YS::ATTACK_WORK::reflect(YS::ATTACK_WORK*)		med
001c0890	300	loop	near	lift	75.49	004dd4f8	_ZN2YS10BONUSLEVEL2UpEi	YS::BONUSLEVEL::Up(int)		seed
001f5cc8	300	float	near	lift	83.73	005a97c0	pppKeBornRnd2_Born	pppKeBornRnd2_Born		sim-high
001f6648	300	float	near	lift	83.73	005aa338	pppKeBornRnd5_Born	pppKeBornRnd5_Born		sim-high
0020aec8	300	float	near	lift	95.01	005cc2b8	_Z10set_matrixPA4_fS0_P19PRyjMegaBirthFilterP19VRyjMegaBirthFilterP14_PARTICLE_DATA	set_matrix(float (*) [4], float (*) [4], PRyjMegaBirthFilter*, VRyjMegaBirthFilter*, _PARTICLE_DATA*)		sim-med
00230de0	300	float	near	lift	35.22	002c3b68	_ZN2sa5EVENT9calcValueEifPNS_22BIN_CAMERA_DATA_ENC_WKES2_	sa::EVENT::calcValue(int, float, sa::BIN_CAMERA_DATA_ENC_WK*, sa::BIN_CAMERA_DATA_ENC_WK*)		sim-med
002529a8	300	loop	near	lift	67.76	003b8fd0	_ZN2Tz4ALCA10SetLayListEv	Tz::ALCA::SetLayList()		med
00253638	300	loop	near	lift	99.60	002eda60	_ZN2Tz6CMData4InitEv	Tz::CMData::Init()		med
0028c198	300	branchy	near	lift	88.32	003721d8	_ZN2Tz8MenuItem5startEiiiPNS_6LayoutEiii	Tz::MenuItem::start(int, int, int, Tz::Layout*, int, int, int)		high
002a16b8	300	loop	near	lift	80.67	003371a8	_ZN2Tz9JmDiagram10CalcSelIdxEv	Tz::JmDiagram::CalcSelIdx()		high
0010d918	296	loop	near	e3	42.47	000e4644	_ZN2kn6Friend26searchEnemy_playerAttackerEPN2YS6TARGETES3_	kn::Friend::searchEnemy_playerAttacker(YS::TARGET*, YS::TARGET*)		med
001208f8	296	loop	near	m2c	94.86	00123108	_ZN2kn8ModelSKL19getDMATagBufferSizeEv	kn::ModelSKL::getDMATagBufferSize()		sim-vt-high
0015e3b8	296	straight	near	lift	89.07	000b5218	_ZN2dk9SpotBlendC1Ev	dk::SpotBlend::SpotBlend()		sim-high
0015e4e0	296	straight	near	lift	89.07	00202ea0	_ZN2gm12SPRITEFROM3D11draw_commonERKN2kn16ProjectionCameraERKNS1_7FVectorE	gm::SPRITEFROM3D::draw_common(kn::ProjectionCamera const&, kn::FVector const&)		sim-high
0017da90	296	float	near	m2c	68.78	00431010	_ZN2YS6FRIENDC1EPKNS_8OBJENTRYERKN2kn7FVectorEf	YS::FRIEND::FRIEND(YS::OBJENTRY const*, kn::FVector const&, float)		sim-high
001801b0	296	float	near	lift	94.82	0045b2ec	_ZN2YS6MOTION8_CaptureEPNS_3OBJEPNS_6BINARCEPN3ryj3PAXES2_fPi	YS::MOTION::_Capture(YS::OBJ*, YS::BINARC*, ryj::PAX*, YS::OBJ*, float, int*)		high
