ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
0015c958	232	float	near	lift	63.67	00061450	_ZN2dk8MapColor6setFogEiiiiii	dk::MapColor::setFog(int, int, int, int, int, int)		sim-low
0015f8d8	232	branchy	near	lift	56.83	00078200	_ZN2dk3SkyC1EjRKN2kn7FVectorES4_S4_ii	dk::Sky::Sky(unsigned int, kn::FVector const&, kn::FVector const&, kn::FVector const&, int, int)		sim-low
0017c578	232	float	near	lift	67.93	00402ac8	_ZN2YS11ACTION_JUMP5startEPNS_3OBJE	YS::ACTION_JUMP::start(YS::OBJ*)		sim-high
0017e720	232	float	near	m2c	84.75	00431bc0	_ZN2YS6FRIEND8AutoHealEv	YS::FRIEND::AutoHeal()		med
00189f20	232	float	near	ghidra	81.29	004d8898	_ZNK2YS6ANMATR10each_rangeEfPFvPKNS0_5RANGEEPvES4_	YS::ANMATR::each_range(float, void (*)(YS::ANMATR::RANGE const*, void*), void*) const		sim-med
0018b7f8	232	float	near	lift	63.36	004ef1e0	_ZN2YS3NPC13check_in_zoneEv	YS::NPC::check_in_zone()		sim-high
001920f0	232	loop	near	lift	59.50	0044d304	_ZN2YS7MESSAGE7GetDataEi	YS::MESSAGE::GetData(int)		sim-low
001a35f8	232	loop	near	m2c	41.74	00437534	_ZN2YS4ITEM6GetNumEii	YS::ITEM::GetNum(int, int)		med
001c2490	232	float	near	lift	98.90	00448f60	_ZN2YS7MASSOBJC1EPKNS_8OBJENTRYEiiijj	YS::MASSOBJ::MASSOBJ(YS::OBJENTRY const*, int, int, int, unsigned int, unsigned int)		sim-high
001cfaf0	232	float	near	lift	76.28	004d5218	_ZN2YS12ACTION_NMGUN7controlEPNS_3OBJE	YS::ACTION_NMGUN::control(YS::OBJ*)		sim-high
00209ed0	232	float	near	lift	76.25	005c5478	pppRyjDrawDrawMatrixWorldDttFr	pppRyjDrawDrawMatrixWorldDttFr		sim-high
0022ca00	232	loop	near	lift	91.21	002caf44	_ZN2sa5EVENT10light_ctrlEv	sa::EVENT::light_ctrl()		high
00237068	232	straight	near	lift	54.43	000c6a28	_ZN2YI6SPRITE4InitEPvPNS_5IMAGEE	YI::SPRITE::Init(void*, YI::IMAGE*)		sim-med
00245dd0	232	branchy	near	lift	95.09	003c4220	_ZN2Tz4HECO7ControlEv	Tz::HECO::Control()		high
0027b5d0	232	loop	near	m2c	77.30	0039003c	_ZN2Tz9CmAbility16GetTopSelMessageEv	Tz::CmAbility::GetTopSelMessage()		med
0028de08	232	loop	near	ghidra	86.16	00376fdc	_ZN2Tz8MenuUtil15MakeQuestionStrEiPci	Tz::MenuUtil::MakeQuestionStr(int, char*, int)		high
002ad6e8	232	loop	near	lift	89.10	00333708	_ZN2Tz10JmComplete10CheckQuestEv	Tz::JmComplete::CheckQuest()		high
001c7ca8	228	float	near	lift	72.29	00486c98	_ZN2YS8PRIZE_MU11AppearTableERKN2kn7FVectorEPKNS_10PRIZETABLEE	YS::PRIZE_MU::AppearTable(kn::FVector const&, YS::PRIZETABLE const*)		high
001e4e18	228	float	near	lift	53.59	002ad068	_Z10pppInitDpdPc	pppInitDpd(char*)		sim-med
00261fb8	228	loop	near	lift	94.51	003a8860	_ZN2Tz6CmItem15UpdateStockListEv	Tz::CmItem::UpdateStockList()		high
002826f8	228	switch	near	m2c	91.49	0032200c	_ZN2Tz8ItemInfo12CalcEquipMaxEii	Tz::ItemInfo::CalcEquipMax(int, int)		sim-high
00282858	228	loop	near	lift	95.51	00322570	_ZN2Tz8ItemInfo12MakeStockMsgEii	Tz::ItemInfo::MakeStockMsg(int, int)		med
00284650	228	loop	near	lift	95.32	002ee9dc	_ZN2Tz6Ending7LoopAllEv	Tz::Ending::LoopAll()		med
00284ef0	228	branchy	near	m2c	90.82	002ef52c	_ZN2Tz6Ending7ControlEv	Tz::Ending::Control()		high
00291110	228	straight	near	ghidra	91.95	00326468	_ZN2Tz8ItemStat11CreateEquipEiiiPN2dk6SpriteEii	Tz::ItemStat::CreateEquip(int, int, int, dk::Sprite*, int, int)		med
0029e170	228	branchy	near	lift	87.16	0033c3f4	_ZN2Tz5JmDic15CreateCharaBaseEi	Tz::JmDic::CreateCharaBase(int)		med
002d6518	228	float	near	lift	99.65	0064bed8	_ZN2Ti11MGOarashiPo7combineEv	Ti::MGOarashiPo::combine()		med
002ed350	228	branchy	near	m2c	75.80	0062929c	_ZN2Ts16TRINITY_SHOT_OBJ5startEPN2YS3OBJEPNS1_6TARGETERKN2kn7FVectorES9_	Ts::TRINITY_SHOT_OBJ::start(YS::OBJ*, YS::TARGET*, kn::FVector const&, kn::FVector const&)		med
